채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
People manager (3년 이상),"“모니모니는 아날로그 감성으로 사람들이 따뜻한 감정을 공유하고 행복해지는 세상을 꿈꾸고 있어요.”

서비스 가입자 수 1,300만, 하루 120만명이 사용하는 평점 4.9의 서비스, 국내 스토어 라이프스타일 1위의 [SumOne]을 만들고 있어요. (24. 08 기준)

모든 것이 디지털화 되는 차가운 세상에서 모니모니와 함께 따뜻하고 행복한 세상을 만들어갈 동료를 기다립니다.


[모니모니 People team은?]

모니모니 피플팀은 회사가 목표를 달성하고 지속적으로 성장하는데 기여합니다.
구성원이 원활하게 목표를 달성하고, 지속적으로 성장하는데 어려움이 없도록 관련된 모든 일을 수행하고 함께 성장합니다.

또 모두가 몰입할 수 있는 환경과 문화를 만드는 것, 그리고 잘 갖추어진 우리의 모습을 외부에 소개하면서 다시 한번 좋은 동료를 찾는 것이 우리 모니모니 피플팀의 역할입니다.","• 팀이 진행하고 있는 HR Process 전반에 대해 같이 기획하고 운영해요.
• 구성원들이 사용하는 공간과 장비 등, 내부 업무 환경에 우리가 일하는 방식을 녹여내는 경험을 설계합니다.
• 휴가 관리 및 각종 인사 제도, 복지 제도를 기획하고 운영해요.
• 회사에 대해서 알리고 회사의 이미지를 만드는 기업브랜딩을 기획하고 실행합니다.","• 팀이 진행하고 있는 HR Process 전반에 대해 같이 기획하고 운영해요.
• 구성원들이 사용하는 공간과 장비 등, 내부 업무 환경에 우리가 일하는 방식을 녹여내는 경험을 설계합니다.
• 휴가 관리 및 각종 인사 제도, 복지 제도를 기획하고 운영해요.
• 회사에 대해서 알리고 회사의 이미지를 만드는 기업브랜딩을 기획하고 실행합니다.",,,,"자유로운휴가, 커피·스낵바, 보너스, 사내동호회, 50명이하, 설립4~9년, 참 괜찮은 중소기업, 인원 급성장",상시채용,,서울 마포구,모니모니
채용 운영 담당자,"새롭고, 흥미롭고, 잊지 못할 모험을 선사하는 자기혁신적인 게임 회사, 펄어비스

우리는 유저들에게 한 번도 느껴보지 못한 재미와 잊지 못할 경험을 선물하고 싶습니다.
놀라운 세상을 실감나게 경험할 수 있도록 우리는 시스템, 그래픽, 사운드 등 유저들이 접하는 모든 부분에서 최상의 퀄리티를 구현하고자 노력합니다.

우리는 유저들이 사람과 사람 사이에서 즐거움을 찾을 수 있기를 바랍니다.
때로는 경쟁하고 때로는 협력하며 소중한 기억을 만들길 바랍니다.
그것이 우리가 많은 사람들을 연결할 수 있는 MMO 게임을 만드는 이유입니다.","• 채용 프로세스 운영 (공고 관리, 면접 일정 조율 및 안내, 필기 테스트 세팅 등)
• 후보자 응대 및 문의 채널 운영
• 사내 채용 시스템 관리
• 채용 관련 데이터 관리","• 채용 프로세스 운영 (공고 관리, 면접 일정 조율 및 안내, 필기 테스트 세팅 등)
• 후보자 응대 및 문의 채널 운영
• 사내 채용 시스템 관리
• 채용 관련 데이터 관리",,,,"편의시설, 식대지원, 커피·스낵바, 건강검진지원, 휴가비, 보너스, 연봉상위1%, 301~1,000명, 스톡옵션, 설립10년이상, 경기도 우수 중소기업",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 캐주얼/편한 분위기",경기 과천시,펄어비스
HRD 조직문화 담당자,"[Collecting The Multitude, Into One Attitude]
""다양성을 모아 하나의 모습으로 만든다""
비케이브는 패션기업으로서 브랜드 메이커로 시작하여, 컨텐츠 커뮤니케이터를 목표합니다.

2008년 '커버낫' 브랜드를 성공적으로 런칭하며 국내 1세대 캐주얼 브랜드로 자리매김 하였습니다.
이를 기반으로 LEE, 팔렛, 네이머클로딩, 랭글러, 토니호크 등 소비자의 다양한 니즈를 충족시킬 수 있는 균형잡힌 브랜드 포트폴리오를 전개하여 패션 산업을 이끌고 있습니다.

또한 2022년 상하이 오프라인 스토어를 오픈하여 국내를 넘어 성공적인 해외진출을 하였으며, 2023년 키즈 영역까지 확장하고, 패션사업 외 코스메틱 시장에 진출하는 등 마켓의 새로운 트렌드를 선도하고 비케이브만의 유통전략을 통해 가파른 성장세를 유지하고 있습니다.

비케이브는 젊은 에너지와 추진력을 바탕으로, 구성원과 함께하는 성장을 지원하기 위해 투자를 아끼지 않으며 지속적인 내부 인프라 고도화를 진행하고 있습니다.
패션을 사랑하는 뜨거운 마음을 보유한 인재들이 모여 있는 곳, 비케이브와 함께 성장의 즐거움을 함께 할 인재를 초대합니다.","[입사하시면 경험하실 업무 입니다]
1) 입퇴사자 온보딩/오프보딩 프로그램 기획/실행
2) 조직문화 진단 및 개선을 통해 일하는 방식 수립
3) 조직활성화를 위한 캠페인/프로그램 기획 및 운영
4) 핵심가치 내재화를 위한 조직문화 프로그램 기획 및 운영","[입사하시면 경험하실 업무 입니다]
1) 입퇴사자 온보딩/오프보딩 프로그램 기획/실행
2) 조직문화 진단 및 개선을 통해 일하는 방식 수립
3) 조직활성화를 위한 캠페인/프로그램 기획 및 운영
4) 핵심가치 내재화를 위한 조직문화 프로그램 기획 및 운영",,,,"사내동호회, 복지포인트, 자기계발지원, 식대지원, 커피·스낵바, 자유로운휴가, 건강검진지원, 301~1,000명, AI 선도 기업, 참 괜찮은 중소기업, 인원 급성장, 설립10년이상, 유연근무",상시채용,"여유 있는 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 마포구,비케이브
채용담당자,"[Collecting The Multitude, Into One Attitude]
""다양성을 모아 하나의 모습으로 만든다""
비케이브는 패션기업으로서 브랜드 메이커로 시작하여, 컨텐츠 커뮤니케이터를 목표합니다.

2008년 '커버낫' 브랜드를 성공적으로 런칭하며 국내 1세대 캐주얼 브랜드로 자리매김 하였습니다.
이를 기반으로 LEE, 팔렛, 네이머클로딩, 랭글러, 토니호크 등 소비자의 다양한 니즈를 충족시킬 수 있는 균형잡힌 브랜드 포트폴리오를 전개하여 패션 산업을 이끌고 있습니다.

또한 2022년 상하이 오프라인 스토어를 오픈하여 국내를 넘어 성공적인 해외진출을 하였으며, 2023년 키즈 영역까지 확장하고, 패션사업 외 코스메틱 시장에 진출하는 등 마켓의 새로운 트렌드를 선도하고 비케이브만의 유통전략을 통해 가파른 성장세를 유지하고 있습니다.

비케이브는 젊은 에너지와 추진력을 바탕으로, 구성원과 함께하는 성장을 지원하기 위해 투자를 아끼지 않으며 지속적인 내부 인프라 고도화를 진행하고 있습니다.
패션을 사랑하는 뜨거운 마음을 보유한 인재들이 모여 있는 곳, 비케이브와 함께 성장의 즐거움을 함께 할 인재를 초대합니다.","[입사하시면 경험하실 업무 입니다]
1) 비즈니스 이해를 기반으로 한 채용 기획
2) 인재채용을 위한 다양한 채용채널 발굴 및 운영
3) 인재 파이프라인 구축 및 장기적인 네트워크 관리
4) 채용 브랜딩/광고 전략 수립 및 운영
5) 온보딩 및 리텐션 확보를 위한 다양한 프로그램 기획","[입사하시면 경험하실 업무 입니다]
1) 비즈니스 이해를 기반으로 한 채용 기획
2) 인재채용을 위한 다양한 채용채널 발굴 및 운영
3) 인재 파이프라인 구축 및 장기적인 네트워크 관리
4) 채용 브랜딩/광고 전략 수립 및 운영
5) 온보딩 및 리텐션 확보를 위한 다양한 프로그램 기획",,,,"사내동호회, 복지포인트, 자기계발지원, 식대지원, 커피·스낵바, 자유로운휴가, 건강검진지원, 301~1,000명, AI 선도 기업, 참 괜찮은 중소기업, 인원 급성장, 설립10년이상, 유연근무",상시채용,"여유 있는 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 마포구,비케이브
[People]인사기획,"NSUS Group은 북미, 유럽, 아시아 등 다양한 지역에 약 700명 이상의 임직원들이 일하고 있는 다국적 기업으로 iGaming 업계의 유니콘이며, NSUSLAB은 NSUS Group의 개발 스튜디오로서 그룹의 핵심적인 역할을 담당하고 있습니다.
NSUSLAB의 위대한 도전을 함께 할 우수 인재를 적극 모시고자 하니, 많은 관심과 지원 부탁 드립니다.","• HR 전반에 걸친 Overall Project 도출, 기획, 실행(규정, 제도, 프로세스 전반)","• HR 전반에 걸친 Overall Project 도출, 기획, 실행(규정, 제도, 프로세스 전반)",,,,"복지포인트, 커피·스낵바, 식대지원, 사내동호회, 자기계발지원, 유망산업, 301~1,000명, 연봉상위2~5%, AI 선도 기업, 육아휴직, 보너스, 인원 급성장, 설립10년이상, 워크샵",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,앤서스랩코리아
[ESTsoft] 채용담당자,"이스트소프트를 소개합니다
이스트소프트는 지난 30년간 국민 유틸리티 '알툴즈'와 국내 1위 백신 ‘알약’을 서비스해온 국내 대표 SW 전문 기업입니다. 그동안 축적된 서비스 노하우와 혁신적인 SW 기술을 바탕으로, 최고의 A.I. 서비스 기업으로 성장하기 위한 새로운 발걸음을 내딛고 있습니다.

“실용주의 인공지능으로 일상에 편리함을 더하다”

이스트소프트는 ‘실용주의 인공지능’을 지향하며, 우리 일상에 인공지능이 PLUS된 더 편리한 세상을 추구합니다. 인공지능이 필요한 모든 영역에 우리의 A.I. 기술을 적용하여 더 나은 세상을 만들어나갈 인재를 모집합니다.

우리 피플파트너팀을 소개합니다
피플파트너팀은 이스트소프트 및 계열사 채용, 인사기획, 급여, 교육 업무를 담당하고 있습니다.
회사의 스태프 조직으로서 책임감을 갖고 근무해요. 자유롭게 아이디어를 공유하며, 즐겁게 협업하는 조직이랍니다.
저희와 함께 커리어패스를 그려나갈 채용담당자를 찾습니다!","• 우리 조직에 적합한 인재영입을 위한 채용공고 및 채용채널을 관리를 담당해요. 
• 전반적인 채용 프로세스를 운영하며 후보자와의 커뮤니케이션을 담당해요. 
• Hiring Manager와 지속적인 커뮤니케이션 기반으로 인재 영입 파이프라인을 관리해요. 
• 인재영입 데이터를 수집하고, 지원자 현황을 모니터링해요. 
• 채용과 수반되는 문서작업을 수행해요.","• 우리 조직에 적합한 인재영입을 위한 채용공고 및 채용채널을 관리를 담당해요. 
• 전반적인 채용 프로세스를 운영하며 후보자와의 커뮤니케이션을 담당해요. 
• Hiring Manager와 지속적인 커뮤니케이션 기반으로 인재 영입 파이프라인을 관리해요. 
• 인재영입 데이터를 수집하고, 지원자 현황을 모니터링해요. 
• 채용과 수반되는 문서작업을 수행해요.",,,,"보너스, 자기계발지원, 커피·스낵바, 휴가비, 복지포인트, 건강검진지원, 유망산업, 장비지원, 자유로운휴가, 육아휴직, 51~300명, AI 선도 기업, 스톡옵션, 인원 급성장, 설립10년이상, 재택근무, 유연근무",상시채용,"신속 간결한 스타일, 결과 중심 질문, 천천히 기다려준 편, 집중하기 좋은 환경",서울,이스트소프트(ESTsoft)
Sr. HR manager,"앳홈은 18년도에 설립된 홈 라이프 솔루션 기업으로,

""사람들이 생활에서 충분한 만족과 기쁨을 누리게 한다."" 라는 기업 미션과 ""브랜드로 숨겨진 문제를 해결한다."" 라는 비전을 바탕으로 글로벌 No.1 홈 라이프 솔루션 기업이 되고자 매년 폭발적으로 성장하고 있습니다.

미니가전 브랜드 '미닉스', 로봇 청소기 브랜드 '클리엔', 주방요리가전 브랜드 '키첸', 음식물 처리기 브랜드 '웰싱' 등 소형 가전 분야가 메인 비즈니스 영역으로, 코스메틱, 침구, 헬스푸드 등 고객 접점의 다양한 분야로 사업을 확장 중입니다.

만 5년이 안되는 기간 동안 투자유치 없이 매출 약 500억을 달성하였고, 사원 수는 22년 초 21명에서 현재 100명 이상 규모까지 조직이 확장되어 외형적으로 크게 성장해왔습니다.

특히 24년엔 상반기에만 매출 420억을 돌파하였고 연 매출 1,200억 달성을 목표로 가파르게 성장하고 있습니다. 하반기와 25년엔 해외 진출을 통해 글로벌 시장으로 비즈니스를 확장해나갈 예정입니다.

[피플팀을 소개해요!]
피플팀은 앳홈의 구성원들의 몰입을 위해 필요한 모든 문제를 해결한다는 미션을 가지고 있어요. 현재 피플팀이 풀고 싶은 문제는 인재 밀도를 높이는 작업과 새롭게 정립한 문화를 내재화 하는 거에요. 문제를 푸는 방법은 여러가지가 있을 것이고, 무엇을 문제로 볼 것이냐에 따라 다양한 시뮬레이션을 해볼 수 있을 것 같아요. 앳홈의 피플팀에 합류하시면 고속 성장하는 회사의 HR를 전반적으로 경험하실 수 있고, 다양한 문제를 주도적으로 해결할 수 있는 문화에서 업무를 하실 수 있을 거에요. 현재 피플팀은 리더 1명, HRBP 1명, 채용 1명, 운영 1명, 총무 1명으로 구성되어 있어요. 도전과 성장, 자율과 책임, 문제와 해결을 좋아하는 분이라면 두 팔 벌려 환영합니다!",• 평가/보상/문화 업무를 중심으로 HR 전반 담당,• 평가/보상/문화 업무를 중심으로 HR 전반 담당,,,,"식대지원, 커피·스낵바, 자기계발지원, 건강검진지원, 자유로운휴가, 51~300명, 설립4~9년, 연봉상위6~10%, 참 괜찮은 중소기업, 인원 급성장",2024.10.31,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 성동구,앳홈
[People]인사운영,"NSUS Group은 북미, 유럽, 아시아 등 다양한 지역에 약 700명 이상의 임직원들이 일하고 있는 다국적 기업으로 iGaming 업계의 유니콘이며, NSUSLAB은 NSUS Group의 개발 스튜디오로서 그룹의 핵심적인 역할을 담당하고 있습니다.
NSUSLAB의 위대한 도전을 함께 할 우수 인재를 적극 모시고자 하니, 많은 관심과 지원 부탁 드립니다.","• 인사관리 (조직개편 및 인사발령, 퇴직프로세스, 유연근무제도 운영 등)
• 보상관리 (급여·퇴직금·상여금 지급, 원천세 신고, 연말정산, 4대보험 취득.상실 등) 
• 기타 인사 관련 프로젝트 수행 및 운영","• 인사관리 (조직개편 및 인사발령, 퇴직프로세스, 유연근무제도 운영 등)
• 보상관리 (급여·퇴직금·상여금 지급, 원천세 신고, 연말정산, 4대보험 취득.상실 등) 
• 기타 인사 관련 프로젝트 수행 및 운영",,,,"복지포인트, 커피·스낵바, 식대지원, 사내동호회, 자기계발지원, 유망산업, 301~1,000명, 연봉상위2~5%, AI 선도 기업, 육아휴직, 보너스, 인원 급성장, 설립10년이상, 워크샵, 유연근무",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,앤서스랩코리아
인사팀 HR Lead (팀장),"BAT, 에이전시 업의 새로운 미래를 그리다

BAT(비에이티)는 변화하는 시대에 최적화된 새로운 형태의 ‘종합 브랜드 에이전시’입니다. 브랜드에 필요한 진정한 통합 솔루션을 제공하며, 브랜드 전략 컨설팅부터 디자인, 광고 캠페인 및 콘텐츠, 미디어와 퍼포먼스 마케팅 등 기존 에이전시의 분야들을 통합하여 새로운 관점의 솔루션을 만들고 있습니다. BAT는 에이전시업에 본격적으로 진출한 19년도부터 컬리, 카카오, 통신 3사, 현대카드, 센트비, 무신사 등 대기업부터 스타트업까지 다양한 브랜드와 협업하며 매년 2배 이상의 폭발적 성장을 이루어내고 있습니다. BAT의 취급고는 2019년 10억 내외를 기록했으나 2023년 500억을 달성하였고 2024년 1,200억 수준의 취급고 달성을 목표로 하고 있습니다.

BAT는 브랜드를 위해 ‘새롭고’ ‘효과적이며’ ‘진정성 있는’ 크리에이티브와 솔루션을 만들기 위해 모인 브랜드 전문가들의 조직입니다. 컨설턴트, 마케터, 디자이너 등 25가지 이상의 직무별 전문가들이 브랜드의 미션을 성공시키기 위해 팀으로 구성되어, 기획부터 실행까지 유기적인 협업을 통해 전에 없던 퀄리티의 프로젝트를 만들어 갑니다. 무엇보다 BAT는 이러한 브랜드 전문가들이 몰입과 성장을 할 수 있도록 자율적이고 열린 구조의 조직을 구축하여 기존 에이전시에 없던 새로운 조직문화를 앞장서고 있습니다.

업계 최고의 전문가들이 모여, 안주하지 않고 새로운 관점으로 끊임없이 도전하는 우리는, 브랜드로 세상을 함께 바꿀 전문가이자 동료를 기다리고 있습니다.




▷ BAT key highlights


메타 탑 티어 파트너
구글 파트너 대행사
틱톡 공식 대행사
트위터 공식 파트너
크리테오 공식 대행사


• 24년 2월 타불라 주관 2023 스타 에이전시 위너
• 24년 1월 메타 에이전시 퍼스트 어워즈 2023 퍼포먼스 히어로 부문 수상
• 24년 1월 서울영상광고제 2023 브랜딩 캠페인 파이널리스트
• 23년 12월 과학기술정보통신부 2024 데이터 바우처 지원사업 공급기업 선정
• 23년 10월 2023 M/KT 컨퍼런스 개최
• 23년 7월 혁신성장형 벤처기업 인증 획득
• 23년 4월 글로벌 디자인 어워드 'IDEA' 파이널리스트
• 23년 4월 글로벌 디자인 어워드 '2023 iF 디자인 2개 부문 본상 수상
• 22년 11월 대한민국광고대상 퍼포먼스 부문 본상 수상
• 22년 11월 글로벌 디자인 어워드 GDA 2개 부문 본상 수상
• 22년 10월 SK텔레콤 동반성장 최우수파트너 선정
• 22년 7월 맥스더크리에이티브 에이전시 부문 수상
• 22년 3월 구글 4대 딥러닝 기술 제휴사 알티비하우스와 파트너십 체결




▷ BAT key strengths

• 잡플래닛 전체 상위 1%를 자랑하는 구성원 만족도
• 분야별 탑티어 회사 출신들의 경력직 맨파워
• 브랜딩 x 캠페인 x 퍼포먼스 마케팅 간 협업과 업무기회
• 개인의 의견을 존중하는 설득 기반의 커뮤니케이션





▷ 고용형태: 정규직
▷ 급여수준: 면접 후 결정





[ BAT 인사팀_HR Lead ]
BAT HR Lead는 대표이사 직속 인사팀 소속으로, BAT에 적합한 HR 시스템 설계, 조직문화 활성화 및 인사/총무 운영 전반을 리딩하는 역할을 수행합니다.


① BAT 인사팀은 어떤 일을 하나요?
구성원들이 몰입할 수 있는 업무 환경을 구축해 나아가고 있습니다. 평가, 보상, 휴가, 복지 등의 제도 개선을 통해 BAT만의 Professional한 조직문화를 만들어가고 있으며, 구성원들이 BAT의 핵심가치를 중심으로 Align 될 수 있도록 다양한 조직문화 프로그램을 기획하고 운영합니다.

② 인사팀은 어떤 가치를 중시하나요?
투명하고 정직한 소통을 지향합니다. 사각지대 없는 소통과 신뢰의 문화가 건강한 조직을 이룬다는 공감대 아래 업무에 임하고 있으며, 혼선 없는 체계 정립과 구성원들의 긍정적인 경험들이 조직성장의 지름길이라고 믿고 있습니다.

③ 인사팀에는 어떤 분들이 있나요?
인사팀은 BAT에 가장 적합한 HR제도를 목적에 맞게 기획/운영하여, 회사의 성장 곡선과 개인의 성장 곡선을 맞춰가려 노력하는 팀원들이 모여있습니다. 문제 해결능력을 기반으로 빠르게 성장하고 있고, 아직도 성장에 목마른 구성원들을 잘 리드해 주실 분을 모시고 있습니다.","• HR 전 영역 제도 기획 및 운영 리딩(평가/보상/직무직급/채용/육성 등)
• 조직문화/구성원 경험/리더십 개선 방안 기획 및 운영 리딩
• 근태/노무 운영 리딩
• 기타 BAT 인사팀 업무 및 일부 총무 업무 리딩","• HR 전 영역 제도 기획 및 운영 리딩(평가/보상/직무직급/채용/육성 등)
• 조직문화/구성원 경험/리더십 개선 방안 기획 및 운영 리딩
• 근태/노무 운영 리딩
• 기타 BAT 인사팀 업무 및 일부 총무 업무 리딩",,,,"건강검진지원, 휴가비, 무제한연차, 유급휴가, 커피·스낵바, 51~300명, 설립4~9년",상시채용,"신속 간결한 스타일, 간결 명확한 피드백, 친절/따뜻한 스타일, 캐주얼/편한 분위기",서울 강남구,BAT(비에이티)
[재택근무] 채용 담당자 (리크루터),"[브랜드 소개]

코니는 부모로서의 일상을 쉽고 멋지게 만들어주는 브랜드입니다.

코니바이에린은 ‘부모로서의 삶을 더 쉽고 멋지게’라는 브랜드 미션 아래 모든 제품을 개발, 생산, 판매하고 있습니다. 대표 제품인 코니아기띠는 출산 후 40일만에 목 디스크로 괴로워하던 에린의 고민으로부터 출발했어요. “허리와 어깨에 부담은 줄이면서 심플한 형태의 아기띠는 없을까?” 출산과 육아의 과정에서 경력단절을 겪었지만 진짜 부모의 경험이 있었기에, 공동육아 파트너였던 남편과 함께 기존의 아기띠 제품들이 가진 번거로움을 해결하는 코니아기띠를 세상에 선보일 수 있었습니다.

이후 코니는 D2C(Direct-to-Consumer) 비즈니스 모델을 기반으로, 회사 매출의 99%를 온라인에서 창출하고 있으며, 그 중 70% 이상이 자사몰을 통해 발생합니다. 이는 코니가 D2C 판매, 마케팅, 물류, 고객 경험 등에서 독보적인 노하우와 경험을 보유하고 있음을 의미합니다.

또한, 코니는 글로벌 시장에서의 성공을 기반으로 성장하고 있는 기업입니다. 매출의 60% 이상이 해외에서 발생하며, 전 세계 고객을 대상으로 제품을 개발, 마케팅 및 판매하고 있습니다. 한국을 넘어 글로벌 시장에서 인정받는 제품을 만들어 나가는 데에 자부심을 가지고 있습니다.

코니는 제조업 기반 스타트업으로, 외부 제품을 유통하는 것이 아닌, 부모로서의 경험에서 출발한 문제의식으로부터 제품 기획을 시작한 기업입니다. R&D, 원부자재 생산, 봉제 등 전체 생산 공정을 내부에서 직접 관리하며, 패션 업계에서도 보기 드문 혁신적인 제품을 개발하고 있습니다. 고객의 문제를 해결하는 혁신적인 제품을 직접 만들어 나가는 기업입니다.

코니에서는 지금 온라인 시장의 빠른 변화에 발맞춰 나가며, 오프라인 중심의 기업에서는 얻기 어려운 다양한 경험과 배움을 제공하는 환경에서, 진취적이고 도전적이며 함께 성장할 인재를 찾고 있습니다.


[포지션 소개]

국내를 넘어 글로벌로 꾸준히 성장하는 코니바이에린에서 채용을 담당하실 분을 찾고 있습니다.

기업에는 여러 복지 제도가 있지만, 그 중 최고의 복지는 단연코 '믿고 신뢰할 수 있는 좋은 동료'와 함께 지내는 것이라고 생각합니다. 코니의 채용 담당자는 '부모의 삶을 더 쉽고 멋지게' 만는 데 함께 할 보석같은 인재를 찾아, 적합한 포지션에 모시는 조직에서 가장 중요한 역할을 하게 됩니다.

코니의 미션과 방향에 깊이 공감하고 탁월한 인재들이 모여있는 조직과 함께 성장하고 싶으신 분들의 많은 지원 바랍니다.","주요 포지션의 공고 관리 및 채용 채널 관리
유관 부서과 소통을 통한 JD 작성 및 게재
채용 채널 관련 지표 분석 및 채용 성과 관리
직군별 인재 파이프라인 및 핵심인재 풀 구축과 후속관리
채용 프로세스 관리 및 개선
우수 인재에 대한 아웃바운드 소싱을 통한 채용 속도와 퀄리티 관리
Employer Branding 활동 기획 및 운영
온보딩 프로세스 정비 및 채용 페이지 관리","주요 포지션의 공고 관리 및 채용 채널 관리
유관 부서과 소통을 통한 JD 작성 및 게재
채용 채널 관련 지표 분석 및 채용 성과 관리
직군별 인재 파이프라인 및 핵심인재 풀 구축과 후속관리
채용 프로세스 관리 및 개선
우수 인재에 대한 아웃바운드 소싱을 통한 채용 속도와 퀄리티 관리
Employer Branding 활동 기획 및 운영
온보딩 프로세스 정비 및 채용 페이지 관리",,,,"건강검진지원, 커피·스낵바, 설립4~9년, 아시아·태평양 고성장, 일·가정 양립, 참 괜찮은 중소기업, 재택근무",상시채용,"빠른 속도감, 과정 중심 질문, 천천히 기다려준 편, 자유롭고 편한 환경",서울,코니바이에린
커리어 디렉터 (시니어) [커리어사업부문],"[모두가 나답게 일하고 성장할 수 있는 세상을 만들어 갑니다.]
원티드랩은 일하는 사람들의 미래를 만드는 HR테크 기업입니다. 2015년 채용 서비스 원티드를 선보인 후 1,000만 건 이상의 매칭 데이터를 쌓았고 이를 바탕으로 AI 매칭 알고리즘을 개발해 합격률을 일반 지원 대비 4배 이상 높였습니다. 이외에도 교육 프로그램, 프리랜서 매칭 플랫폼, HR 솔루션 등 일과 관련된 다양한 서비스를 제공하고 있습니다.

[원티드랩의 미션과 비전]
• 미션 : 일하는 사람들의 더 멋진 내일을 돕는다.
• 비전 : HR 혁신을 주도하여 사람들의 잠재력을 극대화하는, 'Beyond HR' 서비스

[원티드랩의 일하는 방식, Wanted Way]
• 성장지향(Growth Mindset) : 할 수 있다는 마음으로, 중요하고 어려운 미션에 기꺼이 도전하고 주도한다.
• 린한실행(Lean Action) : 바로 시작하고, 피드백과 데이터를 빠르게 반영하여, 최선의 방안을 찾아간다.
• 프로다움(Professionalism) : 치열하게 논의하고, 동의하지 않아도 높은 책임감, 품질, 속도로 팀 성과에 헌신한다.

[원티드랩 팀 블로그]
•","**기간이 정해져 있는 계약직 포지션 입니다.**
**근무 기간 : 채용일로부터 1년

[훈련생 퍼포먼스 관리]
• 훈련생 선발 및 학습 성과 모니터링을 통한 훈련생 관리
• 학습 동기부여를 위한 프로그램 기획 및 운영
• 커뮤니티 활성화를 위한 기수별 이벤트 및 활동 기획

[훈련생 취업 지원]
• 취업 지원 콘텐츠/커리큘럼 개발
• 취업률 제고를 위한 커리어 특강 및 훈련생 맞춤 상담
• 원티드 취업지원시스템(EAS)를 활용한 구직 단계별 활동 분석 및 개선 방안 제시

[채용 기업 발굴 및 관리]
• 채용 기업 발굴 및 일자리 매칭 연계 지원
• 기업과의 커뮤니케이션을 통한 협력사 관리","**기간이 정해져 있는 계약직 포지션 입니다.**
**근무 기간 : 채용일로부터 1년

[훈련생 퍼포먼스 관리]
• 훈련생 선발 및 학습 성과 모니터링을 통한 훈련생 관리
• 학습 동기부여를 위한 프로그램 기획 및 운영
• 커뮤니티 활성화를 위한 기수별 이벤트 및 활동 기획

[훈련생 취업 지원]
• 취업 지원 콘텐츠/커리큘럼 개발
• 취업률 제고를 위한 커리어 특강 및 훈련생 맞춤 상담
• 원티드 취업지원시스템(EAS)를 활용한 구직 단계별 활동 분석 및 개선 방안 제시

[채용 기업 발굴 및 관리]
• 채용 기업 발굴 및 일자리 매칭 연계 지원
• 기업과의 커뮤니케이션을 통한 협력사 관리",,,,"장비지원, 건강검진지원, 자유로운휴가, 식대지원, 커피·스낵바, 연봉상위2~5%, 51~300명, 설립4~9년, AI 선도 기업, 누적투자100억이상",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 송파구,원티드랩
HR Manager,"숏뜨는 숏폼을 기반으로 한 다양한 뉴미디어 디지털 콘텐츠를 제작하고 있는 크리에이터 애드솔루션 스타트업입니다.

삼성전자 무선, 가전, 현대자동차, 엘지전자, 아모레퍼시픽, 이케아 등의 TVC, 디지털 콘텐츠 등을 제작대행하고 있으며 숏폼 영역에선 독보적인 포트폴리오를 기록하고 있습니다. AR이펙트, 웹드라마, 커머스 콘텐츠, 퍼포먼스 소재 제작 등 다양한 영역을 아우르고있습니다.

저희는 창업 첫해(2022년) 매출 30억, 영업이익 5억, 직원 10명의 회사로 성장했고 두번째 해인 2023년, 작년 매출을 상반기만에 달성하고 2년간 연평균 성장률 300%의 속도로 성장하고 있습니다. 현재 투자사들로부터 80억~100억 밸류로 PreA시리즈 유치 논의 중이며, 25년까지 연매출 500억, 영업이익 50억의 100인 기업으로 성장시킨 뒤, 2027년까지 기업가치 5,000억원 이상으로 상장하는 것이 목표입니다.

유튜브가 디지털 미디어 시장 전반을 혁신한 것처럼, 숏폼은 앞으로 10년간 미디어 생태계를 혁신할 뉴미디어가 될 것이라고 믿습니다. 26년까지 국내 숏폼 인플루언서 시장은 1조원까지 성장할 것으로 예측하고 있고 매해 40%이상의 성장을 유지하고 있습니다.","• 채용 full cycle 운영
• HR 관련 규정 시행 및 개발
• 인사 기록 관리 및 근태 관리
• 복리후생 운영 및 제도 관리
• 조직문화 개선 및 유지
• 평가 및 보상 개발 및 실시
• 비품, 소모품 및 유/무형 자산 관리
• 업무 환경 관리","• 채용 full cycle 운영
• HR 관련 규정 시행 및 개발
• 인사 기록 관리 및 근태 관리
• 복리후생 운영 및 제도 관리
• 조직문화 개선 및 유지
• 평가 및 보상 개발 및 실시
• 비품, 소모품 및 유/무형 자산 관리
• 업무 환경 관리",,,,"식대지원, 커피·스낵바, 보너스, 50명이하, 설립3년이하, 인원 급성장, 유연근무",상시채용,,서울 강남구,숏뜨
