채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
Field Service Engineer,"We heal the world in new ways.

메디픽셀은 새로운 방법으로 세상을 치유한다는 사명을 가지고, 인공지능을 의료에 접목하여 질병의 진단과 치료방법을 개발하는 헬스테크 스타트업입니다. 심혈관 질환과 관련된 인공지능 및 이미지 분석에 있어 독보적인 기술력을 갖추고, 세계에서 가장 경쟁력 있고 혁신적인 SaMD(Software as Medical Device)를 제공하고 있습니다.

메디픽셀의 혁신적인 기술력은 Microsoft for Startups 선정, Johnson & Johnson QuickFire Challenges 대회 우승, 중소벤처기업부 ‘대-스타 해결사 플랫폼’ 우승, 과학기술정보통신부 ‘장관상’ 수상에 이어 2023년에는 MICCAI의 심혈관 분야 의료 인공지능 알고리즘 경진대회에서 협착 검출 1위, 혈관 분할 2위의 쾌거를 달성했습니다.

이제 메디픽셀은 미국 FDA 승인, 미국과 베트남 경제사절단 선정, 다양한 국제 의료 학회 참석을 통해 우리의 기술을 글로벌 비즈니스로 연결하는 걸음을 내딛고 있습니다. 2021년에 글로벌 1위 기업인 필립스의 투자, 2023년 6월에는 인도의 IITPL사와 약 450만불 규모의 구매 MOU를 체결함으로써 새로운 도약의 시작을 알렸으며, 메디픽셀의 무한한 가능성은 170억원 규모의 시리즈B 투자유치로도 증명할 수 있었습니다.

우리는 비슷한 꿈과 열정을 가지고, 새로운 방법으로 세상을 치유한다는 사명을 함께 실현할 사람들을 기다립니다. 구성원들이 각 분야에서 탁월한 재능을 가지고 성장할 수 있도록 최적의 환경을 제공하고 적극 지원하겠습니다. 세계 최고의 인공지능 의료 소프트웨어로 세상을 치유하고자 하는 분들의 많은 관심과 지원 부탁드립니다.","Medipixel Business Group is looking for an AI Solution - Field Service Engineer. 

You are the ""Face of Medipixel"" to the customer. So, this is a field-based, customer-facing role that installs, services, maintains and modifies Medipixel’s AI solution at customer sites. 

• Provide service, preventative maintenance, updates and installations on Medipixel AI solution at customer site. 
• Troubleshoot AI solution failures and provide on-site customer services; responsible for delivering both timely and effective resolution. 
• Manage product stabilization and evolution by listening to feedback from the field and communicating with development teams 
• Provide adequate training of users to ensure optimal system performance. 
• Maintain relationships with customers and ensure timely communication, resolution and proper follow-up to drive customer satisfaction. 
• Manage company assets including devices, software, accessory parts, etc. 
• Establish and foster positive business relationships with customers and peers. 
• Communicate and collaborate with other departments 
• Interfacing regularly with the R&D department to provide the highest level of customer care. 
• Adhere to company policies, procedures, and hospital protocols, to ensure regulatory and compliance requirements are met; ensure documentation of all work performed is captured, including the service report 
• Improve and operationalize pre-delivery testing protocols 
• Perform other service work as needed in support of the broader region and customer base.","Medipixel Business Group is looking for an AI Solution - Field Service Engineer. 

You are the ""Face of Medipixel"" to the customer. So, this is a field-based, customer-facing role that installs, services, maintains and modifies Medipixel’s AI solution at customer sites. 

• Provide service, preventative maintenance, updates and installations on Medipixel AI solution at customer site. 
• Troubleshoot AI solution failures and provide on-site customer services; responsible for delivering both timely and effective resolution. 
• Manage product stabilization and evolution by listening to feedback from the field and communicating with development teams 
• Provide adequate training of users to ensure optimal system performance. 
• Maintain relationships with customers and ensure timely communication, resolution and proper follow-up to drive customer satisfaction. 
• Manage company assets including devices, software, accessory parts, etc. 
• Establish and foster positive business relationships with customers and peers. 
• Communicate and collaborate with other departments 
• Interfacing regularly with the R&D department to provide the highest level of customer care. 
• Adhere to company policies, procedures, and hospital protocols, to ensure regulatory and compliance requirements are met; ensure documentation of all work performed is captured, including the service report 
• Improve and operationalize pre-delivery testing protocols 
• Perform other service work as needed in support of the broader region and customer base.",,,,Linux,,,서울 강남구,메디픽셀
로봇 필드 엔지니어,"We Innovate the world
클로봇은 다가오는 미래 시대의 다양한 로봇 서비스를 클라우드 중심으로 구성하여 기업들이 관리할 수 있는 솔루션을 개발하는 Robotics Tech Start-Up입니다.

2017년에 설립된 클로봇은 꾸준하고 지속적인 성장과 사업의 확대를 진행하고 있으며 현재 글로벌 사업/기술 트렌드인 무인화, 비대면, 자동화를 위하여 로봇, 인공지능, IOT, RPA 등 첨단 기술요소를 융합한 신사업 개발을 추진하고 있습니다.
로봇, AI 등을 융합한 기술로 디지털 전환이 가속화 되는 현 시점에 앞서서 시장을 선도해 나가는 길을 함께할 인재를 찾고 있습니다.","• 서비스 로봇 Field 환경 구축 및 set-up
• 서비스 시나리오 수행 관제 
• 서비스 로봇 제어, 주행환경 mapping
• 운용 매뉴얼 작성 및 서비스 시나리오 계획 및 수행
• 로봇 유통 및 초기 셋업
• 유지보수 관리
• 현장 이슈 대응 및 이슈 레포트 작성","• 서비스 로봇 Field 환경 구축 및 set-up
• 서비스 시나리오 수행 관제 
• 서비스 로봇 제어, 주행환경 mapping
• 운용 매뉴얼 작성 및 서비스 시나리오 계획 및 수행
• 로봇 유통 및 초기 셋업
• 유지보수 관리
• 현장 이슈 대응 및 이슈 레포트 작성",,,,"Git, Linux, Python, 유지보수, 로봇",,,경기 성남시,클로봇
"비전(2D,3D) 엔지니어","We Innovate the world
클로봇은 다가오는 미래 시대의 다양한 로봇 서비스를 클라우드 중심으로 구성하여 기업들이 관리할 수 있는 솔루션을 개발하는 Robotics Tech Start-Up입니다.

2017년에 설립된 클로봇은 꾸준하고 지속적인 성장과 사업의 확대를 진행하고 있으며 현재 글로벌 사업/기술 트렌드인 무인화, 비대면, 자동화를 위하여 로봇, 인공지능, IOT, RPA 등 첨단 기술요소를 융합한 신사업 개발을 추진하고 있습니다.
로봇, AI 등을 융합한 기술로 디지털 전환이 가속화 되는 현 시점에 앞서서 시장을 선도해 나가는 길을 함께할 인재를 찾고 있습니다.","• 3D 비전 로봇 자동화 시스템 현장 Set up 및 시운전
• 3D 비전 알고리즘 운영(대상 인식 및 로봇 I/F)
• 3D 비전 샘플 테스트 및 제안서 작성","• 3D 비전 로봇 자동화 시스템 현장 Set up 및 시운전
• 3D 비전 알고리즘 운영(대상 인식 및 로봇 I/F)
• 3D 비전 샘플 테스트 및 제안서 작성",,,,"유망산업, 보너스, 연봉상위11~20%, 51~300명, 설립4~9년, 자기계발지원, 유급휴가, 자유로운휴가, 건강검진지원, 사내동호회, 식대지원, 스톡옵션, 인원 급성장, 누적투자100억이상, 커피·스낵바, 경기도 우수 중소기업",상시채용,,경기,클로봇
로봇 엔지니어,"We Innovate the world
클로봇은 다가오는 미래 시대의 다양한 로봇 서비스를 클라우드 중심으로 구성하여 기업들이 관리할 수 있는 솔루션을 개발하는 Robotics Tech Start-Up입니다.

2017년에 설립된 클로봇은 꾸준하고 지속적인 성장과 사업의 확대를 진행하고 있으며 현재 글로벌 사업/기술 트렌드인 무인화, 비대면, 자동화를 위하여 로봇, 인공지능, IOT, RPA 등 첨단 기술요소를 융합한 신사업 개발을 추진하고 있습니다.
로봇, AI 등을 융합한 기술로 디지털 전환이 가속화 되는 현 시점에 앞서서 시장을 선도해 나가는 길을 함께할 인재를 찾고 있습니다.","• 물류자동화 Layout 검토 및 제안
• 로봇 티칭 및 프로그램 시운전 셋업(Hyundai, Kuka, ABB 등)
• 로봇 TCP/IF, Socket 통신 I/F 셋업
• 로봇 자동화 시스템 다양한 장비(소터/BCR/Auto Labeller) 구성 및 셋업","• 물류자동화 Layout 검토 및 제안
• 로봇 티칭 및 프로그램 시운전 셋업(Hyundai, Kuka, ABB 등)
• 로봇 TCP/IF, Socket 통신 I/F 셋업
• 로봇 자동화 시스템 다양한 장비(소터/BCR/Auto Labeller) 구성 및 셋업",,,,"유망산업, 보너스, 연봉상위11~20%, 51~300명, 설립4~9년, 자기계발지원, 유급휴가, 자유로운휴가, 건강검진지원, 사내동호회, 식대지원, 스톡옵션, 인원 급성장, 누적투자100억이상, 커피·스낵바, 경기도 우수 중소기업",상시채용,,경기,클로봇
물류 자동화 설비 및 이송 모바일로봇(AGV/AMR) 설치 및 이행 담당,"We Innovate the world
클로봇은 다가오는 미래 시대의 다양한 로봇 서비스를 클라우드 중심으로 구성하여 기업들이 관리할 수 있는 솔루션을 개발하는 Robotics Tech Start-Up입니다.

2017년에 설립된 클로봇은 꾸준하고 지속적인 성장과 사업의 확대를 진행하고 있으며 현재 글로벌 사업/기술 트렌드인 무인화, 비대면, 자동화를 위하여 로봇, 인공지능, IOT, RPA 등 첨단 기술요소를 융합한 신사업 개발을 추진하고 있습니다.
로봇, AI 등을 융합한 기술로 디지털 전환이 가속화 되는 현 시점에 앞서서 시장을 선도해 나가는 길을 함께할 인재를 찾고 있습니다.","ㆍ제조 / 물류센터에 설치되는 자동화 설비 및 이송 로봇의 H/W 설치
ㆍ자동화 설비 업체의 설치 업무 관리, 감독
ㆍ고객사 현장 상주 및 출장을 통한 로봇 설치
ㆍ기계/설비 공사에 대한 관리","ㆍ제조 / 물류센터에 설치되는 자동화 설비 및 이송 로봇의 H/W 설치
ㆍ자동화 설비 업체의 설치 업무 관리, 감독
ㆍ고객사 현장 상주 및 출장을 통한 로봇 설치
ㆍ기계/설비 공사에 대한 관리",,,,AutoCAD,,,경기 성남시,클로봇
제품개발팀 기구설계,"1. 회사소개
- 한컴라이프케어는 1971년 설립이래 군용 K1방독면ㆍKS일반 및 화재대피용 마스크, 공기호흡기ㆍ인공호흡기ㆍ질식방지구명구, 방열복ㆍ방화복ㆍ불침투성화학보호복, 등을 지난 수십년간 생산ㆍ공급한 개인안전보호장비(PPE) 전문업체로서 부단한 연구개발과 경영혁신으로 고객이 신뢰하고 만족할 수 있는 제품생산에 최선을 다하고 있습니다. 군ㆍ경ㆍ소방, 각 행정기관, 산업체 및 원자력발전소 등에 공급된 당사의 보호장비는 화생방 임무수행과 모든 화재 및 재난사고 등 절체절명의 상황에서 착용자의 생존성 및 임무수행 여건을 보장하는 최소한의 안전장비로 사용되고 있습니다.
안전을 최우선으로 생각하는 한컴라이프케어는 모든 인류가 안전하고 행복한 생활을 위하여 신뢰할 수 있는 제품과 보다 나은 서비스로 앞으로도 고객 여러분의 기대와 성원에 보답할 수 있도록 최선의 노력을 다할 것이며, 국내는 물론 글로벌시장에서 국내 기술의 우수성을 세계에 알리고, 더욱 탄탄한 경쟁력을 갖추기 위한 차별화된 마케팅 전략을 세워 선진국의 전유물로 여겨지는 개인안전보호장비(PPE)의 술력개발에 매진하여, 아시아를 넘어선 세계적인 기업이 되고자 합니다.

2. 직무소개
- 기구설계
- 설계 품목 : 공기호흡기, 헬멧, 마스크","- 제품 개발 : 신규 제품 및 성능 개선제품 개발
- 부품 설계 : 플라스틱 사출, 금속 가공, 고무성형품","- 제품 개발 : 신규 제품 및 성능 개선제품 개발
- 부품 설계 : 플라스틱 사출, 금속 가공, 고무성형품",,,,"3D, Solidworks, Creo, NX",,,경기 용인시,한컴라이프케어
시공관리 엔지니어,"네토그린은 머신러닝 기반의 시스템을 통해 누구나 고효율의 농업을 영위할 수 있도록 식물공장 신축부터 각종 하드웨어 및 소프트웨어, 그리고 스마트농업 솔루션을 제공하는 스타트업 입니다.

시공관리 엔지니어 포지션은 인도어팜 관련 기구 및 기계의 시공 관리의 A to Z를 담당합니다.","식물공장(수직농장) 및 공조설비 시공 관리
• 수경재배설비 시공 관리
• 설비 유지보수(설비 고장진단 및 대응)","식물공장(수직농장) 및 공조설비 시공 관리
• 수경재배설비 시공 관리
• 설비 유지보수(설비 고장진단 및 대응)",,,,AutoCAD,,,서울 강남구,네토그린
엔지니어링팀,"제이피이노베이션은 석유화학, 정밀화학, 제약, 바이오분야 제조설비 설계 및 제작기업으로 Business를 시작하여 현재는 반도체를 포함한 이차전지 전문기업으로 성장하고 있습니다.

2026년 코스닥 상장을 목표로 새로운 성장을 준비하고 있습니다.

IPO 준비 및 상장 후 회사의 회계, 재무 부문을 책임질 우수한 인재를 채용하고자 합니다.","• 기본설계 수행/관리
• 상세설계 수행/관리
• 고객사 공사현설 참여 및 견적
• RFQ작성, 협력업체 선정
• 공사관리/사후관리","• 기본설계 수행/관리
• 상세설계 수행/관리
• 고객사 공사현설 참여 및 견적
• RFQ작성, 협력업체 선정
• 공사관리/사후관리",,,,"휴가비, 커피·스낵바, 자기계발지원, 식대지원, 장비지원, 연봉상위6~10%, 50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",상시채용,,경기 화성시,제이피이노베이션
기술팀,"제이피이노베이션은 석유화학, 정밀화학, 제약, 바이오분야 제조설비 설계 및 제작기업으로 Business를 시작하여 현재는 반도체를 포함한 이차전지 전문기업으로 성장하고 있습니다.

2026년 코스닥 상장을 목표로 새로운 성장을 준비하고 있습니다.

IPO 준비 및 상장 후 회사의 회계, 재무 부문을 책임질 우수한 인재를 채용하고자 합니다.","• 압력용기 설계
• 산업용 믹서 설계
• 교반기 설계
• 기계 강도 해석, 유동해석","• 압력용기 설계
• 산업용 믹서 설계
• 교반기 설계
• 기계 강도 해석, 유동해석",,,,"휴가비, 커피·스낵바, 자기계발지원, 식대지원, 장비지원, 연봉상위6~10%, 50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",상시채용,,경기 화성시,제이피이노베이션
Embedded F/W 및 시스템 개발,"사물의 '눈', 라이다(LiDAR)를 연구하고 개발하는 라이다 전문회사 에스오에스랩(SOSLAB)입니다.
에스오에스랩은 2016년 6월 설립되어 만 6년이 지난 기업으로, 시리즈 B 투자 유치에 성공하였고 현재까지 누적 투자액 약 362억을 달성 하였습니다. 무엇보다 CES2021에서 'CES혁신상'을 수상한 국내 최고의 라이다 전문 기업으로 2024년 IPO를 통해 한단계 더 성장하려는 준비를 하고 있습니다. 최고의 실력과 우수한 팀원으로 구성된 에스오에스랩의 로켓에 탑승하실 여러분을 모집합니다.","Embedded F/W 및 시스템 개발
 - Embedded Board 디지털 회로 설계 및 최적화
 - PetaLinux 기반의 Embedded 시스템 S/W 개발 및 최적화","Embedded F/W 및 시스템 개발
 - Embedded Board 디지털 회로 설계 및 최적화
 - PetaLinux 기반의 Embedded 시스템 S/W 개발 및 최적화",,,,"유급휴가, 식대지원, 휴가비, 복지포인트, 51~300명, 설립4~9년, 아시아·태평양 고성장, 누적투자100억이상, 연봉상위6~10%, 인원 급성장, 유연근무",상시채용,"신속 간결한 스타일, 결과 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",경기 용인시,에스오에스랩(SOS LAB)
FMS 필드엔지니어 (자동차 전장),"# 아이엠에스커넥트를 소개합니다.
아이엠에스커넥트는 자동차를 넘어 고객의 생각까지 분석하는 국내 최고의 FMS 솔루션 기업입니다.
FMS(Fleet Management Solution)란, IoT 디바이스를 통해 차량의 DATA를 수집하여 분석, 진단하고 관제하며 더 나아가 운전자의 안전운전 스코어까지 제공하는 차량 관리 솔루션 입니다.

[차세대 유니콘]⑬ 1만2000대 차량 정보 실시간 수집… 유성오 아이엠에스커넥트 대표 “‘모빌리티 데이터 플랫폼’ 될 것”","• FMS 필드엔지니어 (자동차 전장)
• 차량용 IoT 단말기 관리 (불량 분석, 이슈 관리 등)
• 차량용 IoT 단말기 검증 및 분석 (HW, 커넥터, 케이블, 데이터 등)
• 차량용 IoT 단말기 장착, 탈거, 유지보수 등 지원
• 차량용 IoT 단말기와 차량의 전장품 및 액세서리 등의 충돌 문제점 분석
• 협력사 관리 및 설치 기사 기술 교육(배선도, 매뉴얼 작성)","• FMS 필드엔지니어 (자동차 전장)
• 차량용 IoT 단말기 관리 (불량 분석, 이슈 관리 등)
• 차량용 IoT 단말기 검증 및 분석 (HW, 커넥터, 케이블, 데이터 등)
• 차량용 IoT 단말기 장착, 탈거, 유지보수 등 지원
• 차량용 IoT 단말기와 차량의 전장품 및 액세서리 등의 충돌 문제점 분석
• 협력사 관리 및 설치 기사 기술 교육(배선도, 매뉴얼 작성)",,,,자동차,,,서울 광진구,아이엠에스커넥트
기구설계,"GINT 는 인류에게 가장 기본적이며 필수적인 산업인 농업, 그 중에서도 생산과정을 근본적으로 해결하기 위해 국내 최고 수준 오토모티브, ICT 전문가들이 모인 Ag-Tech 스타트업입니다.
기술신용평가에서 TI-2등급이라는 최고에 가까운 등급을 받은만큼 기술력, 시장성, 사업성, 경영역량에서도 인정받았습니다.
21년까지 누적 약 100억원 투자를 유치하였고, 23년 상반기 150억 규모의 Series B 유치에 성공하였습니다.
GINT는 자율주행 기술을 시작으로 한 본격적인 미래농업기술과 서비스 보급을 시작할 예정입니다.

Great Inspiration to the NexT,
우리가 꿈꾸는 다음 세대를 위한 비즈니스입니다.","• 농기계용 자율주행키트 설계
• 전장품 하우징 개발
• 농업용 차량 개발(트랙터, 궤도운반차, SS기)
• 모터/인버터 JIG 설계
• 자율주행 키트 설치 구조물 현장 대응 및 개선","• 농기계용 자율주행키트 설계
• 전장품 하우징 개발
• 농업용 차량 개발(트랙터, 궤도운반차, SS기)
• 모터/인버터 JIG 설계
• 자율주행 키트 설치 구조물 현장 대응 및 개선",,,,"설계, Solidworks",,,경기 성남시,긴트
QA Engineer (ERP/오프라인),"[무신사 테크 소개]
무신사 테크 조직은 혁신의 원동력이자, 가장 먼저 변화를 이끌어낼 핵심 기술 조직입니다. 고객과 입점 브랜드 모두가 고유한 개성을 마음껏 표현할 수 있도록 데이터와 기술을 바탕으로 개인화된 경험을 제공합니다. 무신사 테크 조직은 항상 새로운 영역에서의 성공을 꿈꾸며 도전하는 것을 두려워하지 않습니다. 무신사와 함께 한국을 넘어 글로벌 무대에서 경쟁력 있는 서비스를 만들어갈 인재를 찾고 있습니다.

[무신사 테크가 일하는 방식]
• 고객의 경험을 최우선합니다.
고객의 니즈를 이해하고, 그들의 경험을 개선하기 위해 노력합니다. 사용자가 직면하는 문제를 해결하고 사용성을 향상시키는 것이 핵심 목표입니다.

• 비즈니스 임팩트를 지향합니다.
비즈니스 요구사항을 이해하고 이를 기술적으로 해결하는 것에 집중합니다. 새로운 기술을 도입하는 것도 중요하지만, 기존 시스템의 안정성과 성능을 유지하면서 비즈니스 목표를 달성하는 데 집중합니다.
새로운 제안은 되도록 먼저 시도하고 회고합니다.
새로운 아이디어나 기술적인 변화를 빠르게 테스트하고, 실험을 통해 효과를 검증합니다. 실패를 두려워하지 않고, 실패로부터 배우며 지속적으로 성장합니다.

• 서로 간의 신뢰 기반으로 자유롭게 결정합니다.
팀 내에서 서로를 신뢰하고, 각자의 역할과 책임을 인정하며 일합니다. 문제가 발생했을 때는 개방적으로 의견을 나누고 해결책을 찾아냅니다.

• 업무 효율성을 추구합니다.
업무 효율성을 높이기 위해 지속적으로 개선하고, 효율적인 도구나 프로세스를 도입합니다. 효율적인 개발 방법을 고민하며, 코드의 품질과 유지보수성을 고려하여 작업합니다.

[조직 소개]
무신사 플랫폼 비즈니스 오퍼레이션은 국내/외 물류 서비스, 재고관리 , 매장 운영을 위한 제품을 구축하고 운영하는 물류 프로덕트와 다양한 오프라인 비즈니스 모델에서 고객경험을 향상시킬 수 있는 매장 관리 시스템을 개발하고 고도화합니다. 더불어 플러스 배송서비스를 비롯한 무신사의 차별화된 고객 경험을 브랜딩하고 더 많은 고객에게 제공될 수 있는 멤버쉽 구조를 설계합니다.

[팀 소개]
ERP/오프라인시스템 팀은 무신사의 다양한 오프라인 스토어를 효과적으로 운영하고 관리할 수 있는 시스템 솔루션을 제공하며, 고객들은 무신사의 온라인 플랫폼(무신사 스토어, 29CM 등)과 오프라인 플랫폼(무신사 스탠다드, 편집샵 등)을 자유롭게 넘나들며 끊김없는 쇼핑 경험을 누릴 수 있도록 기술혁신을 실현하고 있습니다. 온라인, 오프라인 그리고 글로벌에 이르기까지 최고의 O4O(Online for Offline, Offline for Online) 플랫폼을 만들어 가는 여정에 앞장설, 멈추지 않는 도전과 배움의 열정을 가진 인재를 찾고 있습니다.","ERP/오프라인시스템 팀은 무신사 스토어, 29CM 서비스 연관 개발뿐아니라 무신사로지스틱스, 무신사페이먼츠, 외부POS연동, 경영관리에 필요한 재무, 회계 매출 데이터 등 전사 통합 연동 서비스를 운영하고 개발합니다. 

• ERP/오프라인의 QA 담당자로서 기능 검증, 오류 리포트, 테스트 케이스 명세화, 테스트 프로세스 수립 및 개선 
• ERP/오프라인 서비스에서 자동화가 가능한 부분을 주도적으로 발굴하고, 테스트 커버리지를 높이기 위한 활동
• ERP/오프라인 서비스를 위한 자동화 테스트 시스템 구축, 테스트 결과 모니터링 및 문제점 파악, 개선
• 서비스 기획 리뷰 단계에서 오류나 개선점을 발견하고 이를 개선하기 위한 적극적인 피드백 제공","ERP/오프라인시스템 팀은 무신사 스토어, 29CM 서비스 연관 개발뿐아니라 무신사로지스틱스, 무신사페이먼츠, 외부POS연동, 경영관리에 필요한 재무, 회계 매출 데이터 등 전사 통합 연동 서비스를 운영하고 개발합니다. 

• ERP/오프라인의 QA 담당자로서 기능 검증, 오류 리포트, 테스트 케이스 명세화, 테스트 프로세스 수립 및 개선 
• ERP/오프라인 서비스에서 자동화가 가능한 부분을 주도적으로 발굴하고, 테스트 커버리지를 높이기 위한 활동
• ERP/오프라인 서비스를 위한 자동화 테스트 시스템 구축, 테스트 결과 모니터링 및 문제점 파악, 개선
• 서비스 기획 리뷰 단계에서 오류나 개선점을 발견하고 이를 개선하기 위한 적극적인 피드백 제공",,,,"대출지원, 건강검진지원, 자기계발지원, 복지포인트, 연봉상위2~5%, AI 선도 기업, 의료비지원, 식대지원, 휴가비, 편의시설, 1,001~10,000명, 설립10년이상, 누적투자100억이상",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 성동구,무신사
전기공사 공무 엔지니어(사업수행 및 지원업무),에너지 사용의 새로운 습관 한국그린데이터입니다. 지속 가능한 에너지 효율화에 대한 사람의 의식전환과 행동 변화를 수반하는 효과적인 인사이트를 제공하기위해 데이터 분석 다각화와 처방적 분석 결과를 제공하는 플랫폼으로 비전문가도 활용 가능한 에너지효율화에 대한 의사결정을 지원하고 단순히 데이터를 전달하고 보여주는 것이 아닌 에너지 데이터로 세상을 바꾸는 계기를 만들어가는 한국그린데이터 입니다.,"- 고객사(빌딩, 호텔, 리조트) 도면 분석
- 전력계통 Tree 작성 검토
- 사업제안서 작성 및 연구과제 사업개발 부문 작성
- 데이터 기반 에너지효율화플랫폼(EMS) 구축 : 당사 솔루션
- 각 지점별 데이터 취득을 위한 통신 시스템 구축
- 기 구축된 Legacy system과의 연동
- 전기, 가스, 수도 등 에너지 사용량 원격계측을 위한 시스템 구축","- 고객사(빌딩, 호텔, 리조트) 도면 분석
- 전력계통 Tree 작성 검토
- 사업제안서 작성 및 연구과제 사업개발 부문 작성
- 데이터 기반 에너지효율화플랫폼(EMS) 구축 : 당사 솔루션
- 각 지점별 데이터 취득을 위한 통신 시스템 구축
- 기 구축된 Legacy system과의 연동
- 전기, 가스, 수도 등 에너지 사용량 원격계측을 위한 시스템 구축",,,,"Excel, AutoCAD",,,서울 서초구,한국그린데이터
로봇기술연구직,"위드포인츠는 자동화 시장의 전 영역에 적용 가능한 '혁신적인 3차원 측정/분석 솔루션'을 개발하는 IT기업입니다.

위드포인츠는 2019년 설립 이후 다년간의 연구와 R&D를 중심으로 다양한 프로젝트를 수행하며 급속 성장하고 있는 기업입니다.
여러 R&D 산업분야에 기술 상용화를 성공했으며, 탄탄한 제품과 기술력을 바탕으로 시장 확대를 위해 상용 서비스 영역을 확장해나갈 준비를 하고 있습니다.
최고의 3D 측정/분석 솔루션 파트너 위드포인츠와 함께 할 인재를 모십니다.","[주요 업무]
• 다양한 제조사 로봇(산업용/협동) SDK 적용을 통한 자체 API 개발
• 다양한 로봇 모션(조립/검사/용접/물류 등) 및 제어 알고리즘 개발
• 로봇 제조사별 최적화(모션, 부하, 충돌회피 등) 알고리즘 개발

[직무 역량]
• 조립/용접/물류/검사 등 공정 자동화 프로젝트 개발 경험
• C/C++, C#, Python, ROS 등을 이용한 실무 경험
• 자동화 및 로봇 제어 알고리즘 설계 구현 경험
• OLP(Offline Programming)관련 프로젝트 경험","[주요 업무]
• 다양한 제조사 로봇(산업용/협동) SDK 적용을 통한 자체 API 개발
• 다양한 로봇 모션(조립/검사/용접/물류 등) 및 제어 알고리즘 개발
• 로봇 제조사별 최적화(모션, 부하, 충돌회피 등) 알고리즘 개발

[직무 역량]
• 조립/용접/물류/검사 등 공정 자동화 프로젝트 개발 경험
• C/C++, C#, Python, ROS 등을 이용한 실무 경험
• 자동화 및 로봇 제어 알고리즘 설계 구현 경험
• OLP(Offline Programming)관련 프로젝트 경험",,,,"C#, Python, C, ROS",,,세종,위드포인츠
