채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
게임 R&D 프로그래머,"Welcome to Supercent!

슈퍼센트는 ‘특별한 가치를 지닌 동전’이라는 뜻으로, 광고 생태계에서 가장 작은 경제 단위인 Cent를 거대한 산처럼 쌓아 올리는 것을 핵심 가치로 삼고 있습니다. 우리는 시장의 모든 트렌드와 유저들의 소비 패턴을 분석하여 발견한 재미요소를 게임에 녹이는 전략으로 글로벌 시장을 돌파하고 있습니다.

2021년 3월 법인 설립 이후, 슈퍼센트는 현재까지 누적 5억 다운로드와 매출 1,200억 원을 달성하였습니다. 현재 슈퍼센트는 23년 이후 국내 1위 앱 퍼블리셔이자, 23년 이후 출시된 게임 기준 전 세계 1위 게임 퍼블리셔로 누구보다 빠르게 성장하고 있습니다.

슈퍼센트의 대표 게임들은 양대 앱 마켓에서 전 세계 1위를 기록하며, 최고의 성공 경험을 쌓아가고 있습니다. 23년 1분기에 런칭한 “버거 플리즈!“는 당해년도 출시된 앱들 중 전 세계 다운로드 3위를 기록하였고, 후속작 “피자 레디” 역시 2024년 4월 누적 다운로드 1억을 돌파하며 전 세계 게임 월간 순위 1위에 올랐습니다. 이 외에도 “아울렛 러쉬“, “슈퍼 슬라임“, “스네이크 클래시” 등 많은 게임들이 각각 수천만 다운로드를 달성하며 성공을 이어가고 있습니다.


슈퍼센트와 함께 새로운 즐거움을 발명하실 분을 두 팔 벌려 환영합니다!","• 슈퍼센트의 모든 프로젝트에서 사용할 비지니스 로직 제작
• 슈퍼센트의 모든 프로젝트에서 사용할 공용 모듈 및 라이브러리 제작
• 슈퍼센트의 모든 프로젝트 최적화 및 기술지원
• 인/아웃 게임 시스템 제작 및 모듈화
• 게임 제작에 필요한 신기술 R&D 및 사내 전파","• 슈퍼센트의 모든 프로젝트에서 사용할 비지니스 로직 제작
• 슈퍼센트의 모든 프로젝트에서 사용할 공용 모듈 및 라이브러리 제작
• 슈퍼센트의 모든 프로젝트 최적화 및 기술지원
• 인/아웃 게임 시스템 제작 및 모듈화
• 게임 제작에 필요한 신기술 R&D 및 사내 전파",,,,"식대지원, 커피·스낵바, 건강검진지원, 무제한연차, 51~300명, 누적투자100억이상, 설립3년이하, 인원 급성장",상시채용,"신속 간결한 스타일, 과정 중심 질문, 천천히 기다려준 편, 자유롭고 편한 환경",서울 송파구,슈퍼센트
하이브리드 게임 클라이언트 개발자,"Welcome to Supercent!

슈퍼센트는 ‘특별한 가치를 지닌 동전’이라는 뜻으로, 광고 생태계에서 가장 작은 경제 단위인 Cent를 거대한 산처럼 쌓아 올리는 것을 핵심 가치로 삼고 있습니다. 우리는 시장의 모든 트렌드와 유저들의 소비 패턴을 분석하여 발견한 재미요소를 게임에 녹이는 전략으로 글로벌 시장을 돌파하고 있습니다.

2021년 3월 법인 설립 이후, 슈퍼센트는 현재까지 누적 5억 다운로드와 매출 1,200억 원을 달성하였습니다. 현재 슈퍼센트는 23년 이후 국내 1위 앱 퍼블리셔이자, 23년 이후 출시된 게임 기준 전 세계 1위 게임 퍼블리셔로 누구보다 빠르게 성장하고 있습니다.

슈퍼센트의 대표 게임들은 양대 앱 마켓에서 전 세계 1위를 기록하며, 최고의 성공 경험을 쌓아가고 있습니다. 23년 1분기에 런칭한 “버거 플리즈!“는 당해년도 출시된 앱들 중 전 세계 다운로드 3위를 기록하였고, 후속작 “피자 레디” 역시 2024년 4월 누적 다운로드 1억을 돌파하며 전 세계 게임 월간 순위 1위에 올랐습니다. 이 외에도 “아울렛 러쉬“, “슈퍼 슬라임“, “스네이크 클래시” 등 많은 게임들이 각각 수천만 다운로드를 달성하며 성공을 이어가고 있습니다.


슈퍼센트와 함께 새로운 즐거움을 발명하실 분을 두 팔 벌려 환영합니다!","• 신규 하이브리드 캐주얼 게임 클라이언트 개발
• 신규 / 라이브 게임의 구조 설계 및 최적화
• 아이디어 발굴/기획/개발 전반적인 과정에 참여하여 게임 제작","• 신규 하이브리드 캐주얼 게임 클라이언트 개발
• 신규 / 라이브 게임의 구조 설계 및 최적화
• 아이디어 발굴/기획/개발 전반적인 과정에 참여하여 게임 제작",,,,"식대지원, 커피·스낵바, 건강검진지원, 무제한연차, 51~300명, 누적투자100억이상, 설립3년이하, 인원 급성장",상시채용,"신속 간결한 스타일, 과정 중심 질문, 천천히 기다려준 편, 자유롭고 편한 환경",서울 송파구,슈퍼센트
게임 3D 디자이너,"Welcome to Supercent!

슈퍼센트는 ‘특별한 가치를 지닌 동전’이라는 뜻으로, 광고 생태계에서 가장 작은 경제 단위인 Cent를 거대한 산처럼 쌓아 올리는 것을 핵심 가치로 삼고 있습니다. 우리는 시장의 모든 트렌드와 유저들의 소비 패턴을 분석하여 발견한 재미요소를 게임에 녹이는 전략으로 글로벌 시장을 돌파하고 있습니다.

2021년 3월 법인 설립 이후, 슈퍼센트는 현재까지 누적 5억 다운로드와 매출 1,200억 원을 달성하였습니다. 현재 슈퍼센트는 23년 이후 국내 1위 앱 퍼블리셔이자, 23년 이후 출시된 게임 기준 전 세계 1위 게임 퍼블리셔로 누구보다 빠르게 성장하고 있습니다.

슈퍼센트의 대표 게임들은 양대 앱 마켓에서 전 세계 1위를 기록하며, 최고의 성공 경험을 쌓아가고 있습니다. 23년 1분기에 런칭한 “버거 플리즈!“는 당해년도 출시된 앱들 중 전 세계 다운로드 3위를 기록하였고, 후속작 “피자 레디” 역시 2024년 4월 누적 다운로드 1억을 돌파하며 전 세계 게임 월간 순위 1위에 올랐습니다. 이 외에도 “아울렛 러쉬“, “슈퍼 슬라임“, “스네이크 클래시” 등 많은 게임들이 각각 수천만 다운로드를 달성하며 성공을 이어가고 있습니다.


슈퍼센트와 함께 새로운 즐거움을 발명하실 분을 두 팔 벌려 환영합니다!","• 게임 아트 리소스 제작
• 신규 게임 아이디에이션 및 아트 기획","• 게임 아트 리소스 제작
• 신규 게임 아이디에이션 및 아트 기획",,,,"3D, Adobe Photoshop, 3D 모델링, Adobe Illustrator, 3D 그래픽, Unity3D",,,서울 송파구,슈퍼센트
하이퍼캐주얼 게임 클라이언트 개발자,"Welcome to Supercent!

슈퍼센트는 ‘특별한 가치를 지닌 동전’이라는 뜻으로, 광고 생태계에서 가장 작은 경제 단위인 Cent를 거대한 산처럼 쌓아 올리는 것을 핵심 가치로 삼고 있습니다. 우리는 시장의 모든 트렌드와 유저들의 소비 패턴을 분석하여 발견한 재미요소를 게임에 녹이는 전략으로 글로벌 시장을 돌파하고 있습니다.

2021년 3월 법인 설립 이후, 슈퍼센트는 현재까지 누적 5억 다운로드와 매출 1,200억 원을 달성하였습니다. 현재 슈퍼센트는 23년 이후 국내 1위 앱 퍼블리셔이자, 23년 이후 출시된 게임 기준 전 세계 1위 게임 퍼블리셔로 누구보다 빠르게 성장하고 있습니다.

슈퍼센트의 대표 게임들은 양대 앱 마켓에서 전 세계 1위를 기록하며, 최고의 성공 경험을 쌓아가고 있습니다. 23년 1분기에 런칭한 “버거 플리즈!“는 당해년도 출시된 앱들 중 전 세계 다운로드 3위를 기록하였고, 후속작 “피자 레디” 역시 2024년 4월 누적 다운로드 1억을 돌파하며 전 세계 게임 월간 순위 1위에 올랐습니다. 이 외에도 “아울렛 러쉬“, “슈퍼 슬라임“, “스네이크 클래시” 등 많은 게임들이 각각 수천만 다운로드를 달성하며 성공을 이어가고 있습니다.


슈퍼센트와 함께 새로운 즐거움을 발명하실 분을 두 팔 벌려 환영합니다!","• 신규 하이퍼 캐주얼 게임 클라이언트 개발
• 신규 / 라이브 게임의 구조 설계 및 최적화
• 아이디어 발굴/기획/개발 전반적인 과정에 참여하여 게임 제작","• 신규 하이퍼 캐주얼 게임 클라이언트 개발
• 신규 / 라이브 게임의 구조 설계 및 최적화
• 아이디어 발굴/기획/개발 전반적인 과정에 참여하여 게임 제작",,,,"C#, Unity3D",,,서울 송파구,슈퍼센트
하이브리드 캐주얼 게임 기획자,"Welcome to Supercent!

슈퍼센트는 ‘특별한 가치를 지닌 동전’이라는 뜻으로, 광고 생태계에서 가장 작은 경제 단위인 Cent를 거대한 산처럼 쌓아 올리는 것을 핵심 가치로 삼고 있습니다. 우리는 시장의 모든 트렌드와 유저들의 소비 패턴을 분석하여 발견한 재미요소를 게임에 녹이는 전략으로 글로벌 시장을 돌파하고 있습니다.

2021년 3월 법인 설립 이후, 슈퍼센트는 현재까지 누적 5억 다운로드와 매출 1,200억 원을 달성하였습니다. 현재 슈퍼센트는 23년 이후 국내 1위 앱 퍼블리셔이자, 23년 이후 출시된 게임 기준 전 세계 1위 게임 퍼블리셔로 누구보다 빠르게 성장하고 있습니다.

슈퍼센트의 대표 게임들은 양대 앱 마켓에서 전 세계 1위를 기록하며, 최고의 성공 경험을 쌓아가고 있습니다. 23년 1분기에 런칭한 “버거 플리즈!“는 당해년도 출시된 앱들 중 전 세계 다운로드 3위를 기록하였고, 후속작 “피자 레디” 역시 2024년 4월 누적 다운로드 1억을 돌파하며 전 세계 게임 월간 순위 1위에 올랐습니다. 이 외에도 “아울렛 러쉬“, “슈퍼 슬라임“, “스네이크 클래시” 등 많은 게임들이 각각 수천만 다운로드를 달성하며 성공을 이어가고 있습니다.


슈퍼센트와 함께 새로운 즐거움을 발명하실 분을 두 팔 벌려 환영합니다!","• 하이브리드 캐주얼 게임의 신규 시스템/콘텐츠 개발 기획
• 게임 시장 트렌드 분석, 유저 피드백 및 게임 지표 데이터에 기반한 게임 디자인
• 신규 또는 기존 게임의 레벨 디자인 설계 및 밸런스 조정
• 캐주얼 RPG / 방치형 RPG 게임 기획 및 콘텐츠 순환 구조 설계","• 하이브리드 캐주얼 게임의 신규 시스템/콘텐츠 개발 기획
• 게임 시장 트렌드 분석, 유저 피드백 및 게임 지표 데이터에 기반한 게임 디자인
• 신규 또는 기존 게임의 레벨 디자인 설계 및 밸런스 조정
• 캐주얼 RPG / 방치형 RPG 게임 기획 및 콘텐츠 순환 구조 설계",,,,"식대지원, 커피·스낵바, 건강검진지원, 무제한연차, 51~300명, 누적투자100억이상, 설립3년이하, 인원 급성장",상시채용,"신속 간결한 스타일, 과정 중심 질문, 천천히 기다려준 편, 자유롭고 편한 환경",서울 송파구,슈퍼센트
[Devs United Games] 서버 프로그래머,"[Devs United Games] 서버 프로그래머
지원 자격 : 경력 3년 이상
채용 직급, 직책 : 대리급, 과장급
급여 조건 : 면접 시 협의


＜Global No.1으로 성장할 VR 게임 스튜디오, 데브즈 유나이티드 게임즈＞

Devs United Games는 2016년에 설립된 XR 개발 스튜디오로, 매출 기준 아시아 태평양 지역에서 1위를 차지한 스타트업입니다.
대표작인 Real VR Fishing은 국내 최초로 오큘러스 퀘스트 스토어에 입점하였으며, 누적 매출 1,600만 달러(약 200억 원)를 기록한 글로벌 히트작입니다.
이 게임은 사실적인 그래픽과 힐링의 경험을 제공하여 전 세계 유저들에게 큰 사랑을 받고 있으며, 이를 바탕으로 2019년 이후 꾸준히 흑자를 달성하고 있습니다.

지난 6년 동안 DUG 팀은 놀라운 성장을 이뤄냈으며, 상상하지 못했던 발전을 이루었습니다.
이러한 성과를 바탕으로 2021년 소프트뱅크벤처스로부터 20억 원의 투자를 유치하였고, Statista 선정 2024년 대한민국 성장 챔피언(여가/엔터테인먼트 부문) 1위, Financial Times 선정 아시아 태평양 고성장 기업(여가/엔터테인먼트 부문) 2위를 기록했습니다.

DUG는 메타 등 글로벌 빅테크 기업들과 긴밀한 파트너십을 맺고 있으며, 이를 통해 다양한 성장 기회를 제공하고 있습니다.

DUG는 새로운 도약을 앞두고 있습니다.
XR 시대에서 누구나 즐길 수 있는 고품질의 XR 경험을 선보이며, 새로운 문법으로 XR 시장을 선도하고자 합니다.

XR 시장이 성장은 자명합니다.
그 증거로, 애플, 구글, 삼성과 같은 유수의 거대 기업들이 XR 시장에 뛰어들고 있습니다.

이 시장의 커다란 변화에 맞춰, 새로운 미래를 만들어 갈 Pioneer를 찾고 있습니다.
DUG와 함께 XR 시장의 선두주자로서 도전할 분들을 모십니다.
제 2의 DUG의 시작과 함께, 새로운 분야를 개척해 나가고 싶습니다.


＜이런 분들을 찾습니다＞

• XR시장에서 팀과 함께 성장하며 큰 임팩트를 만들고자 하는, 강한 의지를 가진 분
• 현재에 안주하지 않고, 도전적인 목표를 설정하고 팀의 비전에 맞춰 주도적으로 실행할 수 있는 분
• 도전 앞에 굴하지 않고 끈기있게 목표를 달성하는 분
• 고객의 마음을 이해하고 그들의 요구를 실현할 수 있는 분
• 탁월한 역량과 높은 책임감으로 팀의 신뢰를 얻을 수 있는 분

창업에 버금가는 도전이 될 것입니다.
결코 쉽지 않겠지만, 함께하는 여러분에게는 커리어에서 가장 의미 있고 중요한 도전 중 하나가 될 것입니다.
특히 다가오는 XR 시대에는 더 이상 남을 따라가는 것이 아닌, 우리 스스로 시장을 이끌어 나갈 수 있는 기회를 얻게 될 것이라고 확신합니다.

XR 시장의 미래를 바꾸고 싶은, 바꾸어 나갈 당신과 함께하고 싶습니다.


＜ DUG에 대한 뉴스 기사 ＞

• South Korean virtual reality fishing game reels in 1mn users","• Spatial Computing(XR) 프로젝트의 게임 서버 개발 및 유지 보수
• API 설계 및 구현, 성능 개선 작업
• 장애 대응 및 시스템 모니터링","• Spatial Computing(XR) 프로젝트의 게임 서버 개발 및 유지 보수
• API 설계 및 구현, 성능 개선 작업
• 장애 대응 및 시스템 모니터링",,,,"건강검진지원, 사내동호회, 50명이하, 설립4~9년, 아시아·태평양 고성장, 인원 급성장",상시채용,,서울 강남구,데브즈유나이티드게임즈
[Devs United Games] 클라이언트 프로그래머,"[Devs United Games] 클라이언트 프로그래머

• 지원 자격 : 신입 ~ 3년
• 채용직급,직책 : 사원급
• 급여 조건 : 4천만~


＜ Global No.1으로 성장할 VR 게임 스튜디오, 데브즈 유나이티드 게임즈＞

Devs United Games는 2016년에 설립된 XR 개발 스튜디오로, 매출 기준 아시아 태평양 지역에서 1위를 차지한 스타트업입니다.
대표작인 Real VR Fishing은 국내 최초로 오큘러스 퀘스트 스토어에 입점하였으며, 누적 매출 1,600만 달러(약 200억 원)를 기록한 글로벌 히트작입니다.
이 게임은 사실적인 그래픽과 힐링의 경험을 제공하여 전 세계 유저들에게 큰 사랑을 받고 있으며, 이를 바탕으로 2019년 이후 꾸준히 흑자를 달성하고 있습니다.

지난 6년 동안 DUG 팀은 놀라운 성장을 이뤄냈으며, 상상하지 못했던 발전을 이루었습니다.
이러한 성과를 바탕으로 2021년 소프트뱅크벤처스로부터 20억 원의 투자를 유치하였고, Statista 선정 2024년 대한민국 성장 챔피언(여가/엔터테인먼트 부문) 1위, Financial Times 선정 아시아 태평양 고성장 기업(여가/엔터테인먼트 부문) 2위를 기록했습니다.

DUG는 메타 등 글로벌 빅테크 기업들과 긴밀한 파트너십을 맺고 있으며, 이를 통해 다양한 성장 기회를 제공하고 있습니다.

DUG는 새로운 도약을 앞두고 있습니다.
XR 시대에서 누구나 즐길 수 있는 고품질의 XR 경험을 선보이며, 새로운 문법으로 XR 시장을 선도하고자 합니다.

XR 시장이 성장은 자명합니다.
그 증거로, 애플, 구글, 삼성과 같은 유수의 거대 기업들이 XR 시장에 뛰어들고 있습니다.

이 시장의 커다란 변화에 맞춰, 새로운 미래를 만들어 갈 Pioneer를 찾고 있습니다.
DUG와 함께 XR 시장의 선두주자로서 도전할 분들을 모십니다.
제 2의 DUG의 시작과 함께, 새로운 분야를 개척해 나가고 싶습니다.


＜이런 분들을 찾습니다＞

• XR시장에서 팀과 함께 성장하며 큰 임팩트를 만들고자 하는, 강한 의지를 가진 분
• 현재에 안주하지 않고, 도전적인 목표를 설정하고 팀의 비전에 맞춰 주도적으로 실행할 수 있는 분
• 도전 앞에 굴하지 않고 끈기있게 목표를 달성하는 분
• 고객의 마음을 이해하고 그들의 요구를 실현할 수 있는 분
• 탁월한 역량과 높은 책임감으로 팀의 신뢰를 얻을 수 있는 분

창업에 버금가는 도전이 될 것입니다.
결코 쉽지 않겠지만, 함께하는 여러분에게는 커리어에서 가장 의미 있고 중요한 도전 중 하나가 될 것입니다.
특히 다가오는 XR 시대에는 더 이상 남을 따라가는 것이 아닌, 우리 스스로 시장을 이끌어 나갈 수 있는 기회를 얻게 될 것이라고 확신합니다.

XR 시장의 미래를 바꾸고 싶은, 바꾸어 나갈 당신과 함께하고 싶습니다.


＜ DUG에 대한 뉴스 기사 ＞

• South Korean virtual reality fishing game reels in 1mn users","Unity 를 활용하여 Spatial Computing(XR) 클라이언트 개발
Spatial Computing(XR) 관련 기술 R&D","Unity 를 활용하여 Spatial Computing(XR) 클라이언트 개발
Spatial Computing(XR) 관련 기술 R&D",,,,"건강검진지원, 사내동호회, 50명이하, 설립4~9년, 아시아·태평양 고성장, 인원 급성장",상시채용,,서울 강남구,데브즈유나이티드게임즈
[FC Mobile Korea] 게임시스템/이벤트/유료화 기획 담당자,"Electronic Arts Inc.는 세계를 선도하는 인터랙티브 엔터테인먼트 소프트웨어 기업입니다. EA는 인터넷 콘솔, 개인용 컴퓨터, 휴대전화, 태블릿용 게임과 콘텐츠 및 온라인 서비스를 제공합니다.","• 게임 feature/system 기획
• 라이브 이벤트/상품 기획
• 라이브 업데이트 지원/라이브 이슈 대응","• 게임 feature/system 기획
• 라이브 이벤트/상품 기획
• 라이브 업데이트 지원/라이브 이슈 대응",,,,"사내동호회, 편의시설, 유급휴가, 연봉상위2~5%, 51~300명, AI 선도 기업, 인원 급성장, 설립10년이상, 출산휴가, 건강검진지원",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,Electronic Arts Korea (EA Korea)
Unity Client Engineer,"Avatar Life Beyond Your Universe
가능성을 뛰어넘은 세상을 만들어 가는 Cocone M!

우리는 사람들의 삶과 이상을 연결합니다.
코코네 M이 만든 Digital World에서 무엇이든 누구든 될 수 있는 완전히 새로운 Life를 선사합니다.
Virtual Life에서 당신의 이상을 실현해보세요!

우리는 세상과 연결되는 새로운 방법을 그리고 있습니다.
혁신적인 기술과 글로벌 커뮤니티를 바탕으로, 가능성을 넘어 이전에 없던 Digital World를 창조해 갑니다.


[우리 팀을 소개합니다!]
Cocone Engineering은 아바타 소셜 네트워크 분야에서 일본을 비롯한 글로벌 시장에서 주목을 받고 있는 코코네 그룹의 핵심적인 개발 조직입니다.
코코네 그룹은, 혁신적인 디지털 월드를 목표로 아바타와 소셜 네트워크를 조합한 독자적인 서비스와 게임 서비스를 제공하는 것으로, 전세계의 유저에게 새로운 경험을 전달하고 있습니다.
우리는, 코코네 그룹의 비전 실현에 있어서 중요한 역할을 완수해, 최신 기술과 창조적인 접근으로 지속 가능한 성장과 혁신을 추구하고 있습니다.
신속하고 안정적인 서비스 개발을 통해 고객의 기대를 뛰어넘는 서비스를 제공하고 기술로 더 나은 미래를 창조하는 것을 목표로 하고 있습니다.
2008년에 창업해, 성장을 계속하고 있는 코코네 그룹의 엔진으로서, 우리는 여러가지 기술적인 도전과 기회를 받아 들여 이노베이션을 추진해, 전세계의 유저와 연결되는 풍부한 디지털 체험을 창출하고 있습니다.","•Unity를 활용하여 스마트폰 앱 설계/개발/테스트/운영/보수 작업 진행
•운영/기획안에 대하여 엔지니어 관점에서의 제안(실현성, 개발공수, 사양개선 제안)

게임 서비스를 담당하게 될 경우에는  아래의 업무를 진행합니다.
•게임 플레이 데이터 관리 및 성능 최적화
•클라이언트 로직, 매치 메이킹, 랭킹 시스템 설계 및 구현
•네트워크 성능 최적화 및 보안 강화
•서버팀과 연계하여 안정적인 게임 플레이 환경 제공

*경험 및 프로젝트 상황에 따라 Cocos2d-x를 이용한 프로젝트를 지원하는 경우도 있으며, 서울 뿐만 아니라 코코네 그룹 (도쿄/후쿠오카) 글로벌 거점의 프로젝트에도 참가할 수 있습니다.","•Unity를 활용하여 스마트폰 앱 설계/개발/테스트/운영/보수 작업 진행
•운영/기획안에 대하여 엔지니어 관점에서의 제안(실현성, 개발공수, 사양개선 제안)

게임 서비스를 담당하게 될 경우에는  아래의 업무를 진행합니다.
•게임 플레이 데이터 관리 및 성능 최적화
•클라이언트 로직, 매치 메이킹, 랭킹 시스템 설계 및 구현
•네트워크 성능 최적화 및 보안 강화
•서버팀과 연계하여 안정적인 게임 플레이 환경 제공

*경험 및 프로젝트 상황에 따라 Cocos2d-x를 이용한 프로젝트를 지원하는 경우도 있으며, 서울 뿐만 아니라 코코네 그룹 (도쿄/후쿠오카) 글로벌 거점의 프로젝트에도 참가할 수 있습니다.",,,,"Git, Github, C#, JavaScript, Python, C, C++, Xcode, Unity3D, HLSL",,,서울 종로구,코코네엠(coconeM)
[운빨존많겜] 2D 게임 그래픽 디자이너,"111퍼센트는 재미라는 본질에 집중합니다.
재미는 심플하고, 참신한 룰에서 나옵니다.

바둑이 흑과 백, 두가지 돌과 심플한 룰로 약 5,000년 동안 인류를 즐겁게 했고,
랜덤 다이스 디펜스가 주사위와 참신한 룰로 약 2,500만 유저를 즐겁게 했듯,
재미있는 게임은 기획부터 런칭까지 6개월이면 충분합니다.

공감 : 111퍼센트만의 개발 속도와 방향성에 깊이 공감하고, 변화에 민첩하게 대응합니다.
도전 : 실패를 두려워 하지 않고, 그 과정을 발판삼아 한단계 성장하여, 다음 도전에서는 성공가능성을 높입니다.
몰입 : 매우 깊고 밀도 있는 몰입으로 매 순간 최고의 속도를 내며 우리의 성공을 앞당깁니다.

111퍼센트는 위 핵심가치를 따라 매번 최고의 속도를 내며 계속해서 도전하고 있습니다.
변화와 실패를 두려워하지 않고, 빠르고 깊은 몰입을 통해 세상에 없던 재미를 개발하고 싶으신 분들을 두 팔 벌려 환영합니다.



* 채용 전형
서류 전형 ＞ 코딩테스트 전형 ＞ 1차 인터뷰 ＞ 2차 인터뷰 ＞ 처우 협상 ＞ 최종합격

* 고용 형태
• 정규직(수습기간 3개월)

* 파일 첨부할 경우 PDF파일로 첨부해주세요.


111퍼센트 운빨팀 소개
111퍼센트의 운빨팀은 실시간 협동 디펜스 게임인 운빨존많겜을 개발하고 업데이트하며
더 높은 목표 달성을 위해 끊임없이 도전하고 성장하는 조직입니다.

우리는 단순한 업데이트를 넘어서 유저의 재미를 최우선으로 생각하며,
유저의 관점에서 고민하고 피드백을 적극적으로 반영하여 최고의 컨텐츠를 제작하고 있습니다.
팀원 모두가 각자의 전문성을 발휘하면서도 다양한 분야의 지식을 함께 공유하며, 서로 긴밀하게 협업하는 팀입니다.
피드백이 활발하고 소통이 자유로운 환경에서 언제나 즐겁고 창의적으로 게임을 만들고 있습니다.

우리는 새로운 시각과 아이디어를 끊임없이 추구하며, 유저들에게 시각적 즐거움을 선사하는 도파민이 넘치는 2D 게임을 함께 만들어갈 디자이너를 기다립니다.
빠르게 성장하고 싶은 열정적인 2D 그래픽 디자이너라면, 지금 도전하세요!","• 운빨존많겜에서 적용 가능한 캐릭터 및 배경 리소스 등 담당 프로젝트의 아트 전반을 제작합니다.
• 유저에게 흥미를 유발할 개성 있는 게임 아트 컨셉 설정 및 캐릭터를 디자인합니다.
• Unity를 이용하여 키 프레임 애니메이션을 제작합니다.","• 운빨존많겜에서 적용 가능한 캐릭터 및 배경 리소스 등 담당 프로젝트의 아트 전반을 제작합니다.
• 유저에게 흥미를 유발할 개성 있는 게임 아트 컨셉 설정 및 캐릭터를 디자인합니다.
• Unity를 이용하여 키 프레임 애니메이션을 제작합니다.",,,,"편의시설, 건강검진지원, 커피·스낵바, 식대지원, 연봉상위11~20%, 51~300명, 설립4~9년",상시채용,"신속 간결한 스타일, 과정 중심 질문, 진중/칼같은 스타일, 캐주얼/편한 분위기",서울 강남구,111퍼센트
창세기전 일본어 서비스 담당자,"'라인 게임즈'는 재미있는 게임을 만드는 사람들 입니다.
매일같이 쏟아지는 수 많은 게임 콘텐츠의 홍수 속에 유저들에게 사랑 받는 게임을 만드는 일은 쉽지 않습니다.
차별화된 재미와 가치를 주는 게임회사로 거듭나 누군가에게 `감동`을 주고, 누군가의 `추억`이되고, `재미`를 선사하는 같은 꿈을 꾸는 사람들을 환영합니다.","• 개발사 및 유관 부서 커뮤니케이션
• 업데이트 및 빌드, 이벤트, 일정 등 게임 프로젝트 서비스 관리
• 게임 지표 관리 및 데이터 분석을 통한 대응 전략 도출
• 일본어 커뮤니티 기획/운영
• 일본어 고객지원","• 개발사 및 유관 부서 커뮤니케이션
• 업데이트 및 빌드, 이벤트, 일정 등 게임 프로젝트 서비스 관리
• 게임 지표 관리 및 데이터 분석을 통한 대응 전략 도출
• 일본어 커뮤니티 기획/운영
• 일본어 고객지원",,,,"편의시설, 건강검진지원, 유급휴가, 자기계발지원, 식대지원, 51~300명, AI 선도 기업, 연봉상위6~10%, 설립10년이상, 워크샵",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,라인게임즈
미니게임 PM,"고픽커뮤니케이션은
온라인 게임 적중 분석 분야에서 선두를 달리고 있는 스타트업 입니다.
다양한 게임을 분석하여 유용한 정보와 통찰력을 제공하여 게임 업계 발전에 기여하고자 합니다.
체계적 분석을 통해 유저들의 스마트한 선택을 돕고, 높은 적중률을 이끌어내는데 주력합니다.
또한 재미와 유익함을 결합한 캐주얼 미니게임을 통해 새로운 즐거움을 제공합니다.

현재 우리는
- 빅데이터 분석과 인공지능(AI)기술을 접목하여 게임 분석 서비스를 발전시키고 있습니다.
- 각종 게임들의 트렌드, 확률, 전략 등을 분석하여 게임을 더 효율적으로 즐길 수 있도록 돕습니다.
- 커뮤니티 사용자, 플레이어들이 높은 적중률을 가질 수 있도록 전문적인 조언, 분석을 제공합니다.

Gopick Culture
영어닉네임 호칭으로 누구나 자유롭게 의견을 제시 하며 상호 존중과 투명한 조직 문화를 위해 끊임없이 노력합니다.
명확하고 진정성 있는 피드백을 통해 효율적, 민첩한 업무 문화를 만들어 갑니다.","[팀 소개]
당사가 운영중인 미니 게임의 개선점 제시를 통해 함께 고도화를 진행하실 새로운 
멤버를 모십니다. 현재 좋은 멤버들이 구성되어 있으며 긍정적인 팀워크를 자랑합니다.
저희의 문제점을 함께 분석하고 앞으로의 방향성을 이야기 하며 나아갈 수 있었으면 합니다.

[담당업무]
• 미니게임, 파워볼 산업에 전반적인 지식과 노하우, 경험이 있으신 분
• 외주 개발사와의 적극적인 커뮤니케이션 (트러블 슈팅, 개선점 제시)
• 업계/시장분석 및 인사이트 제시
• 유관부서, 파트너사 협업 전반","[팀 소개]
당사가 운영중인 미니 게임의 개선점 제시를 통해 함께 고도화를 진행하실 새로운 
멤버를 모십니다. 현재 좋은 멤버들이 구성되어 있으며 긍정적인 팀워크를 자랑합니다.
저희의 문제점을 함께 분석하고 앞으로의 방향성을 이야기 하며 나아갈 수 있었으면 합니다.

[담당업무]
• 미니게임, 파워볼 산업에 전반적인 지식과 노하우, 경험이 있으신 분
• 외주 개발사와의 적극적인 커뮤니케이션 (트러블 슈팅, 개선점 제시)
• 업계/시장분석 및 인사이트 제시
• 유관부서, 파트너사 협업 전반",,,,"유망산업, 커피·스낵바, 식대지원, 자기계발지원, 보너스, 50명이하, 연봉상위6~10%, 설립3년이하, 인원 급성장, 경기도 우수 중소기업",2024.10.27,,경기 성남시,고픽커뮤니케이션
